Paper Name,DOI,API Name,Chitosan Mass Fraction (%),Alginate Mass Fraction (%),Surfactant Mass Fraction (%),Crosslinker Mass Fraction (%),Total Solid Concentration (mg/mL),Particle Size (nm),Zeta Potential (mV),Encapsulation Efficiency (%),Effective SLogP,Effective TPSA,Effective AMW,Effective NumRotBonds,Effective NumHBD,Effective NumHBA,Effective NumAromaticRings,Effective NumSaturatedRings,Effective NumAliphaticRings,Effective MolMR,Effective FractionCSP3,Effective NumHeteroatoms,Total API Mass Fraction (%),Emulsion_Solvent_Evaporation,Contains_Surfactant,Surfactant_HLB,Surfactant_MW,Crosslinker_Cationic_Valency,Crosslinker_Anic_Valency,Crosslinker_Cationic_Charge_Density,Crosslinker_Anic_Charge_Density,Contains_Crosslinker,Chitosan_DDA_Pct,Chitosan_MW_Grade_Encoded,Stirring_Speed_RPM,Temperature_C,Sonication_Time_min,pH_Standardized
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.0341397910644787,0.27311832851583,99.0053940869882,0.232150579238455,7.57534482758621,226,-28.5,67.8,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,0.455197214193049,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.10234948938977,0.272931971706052,98.937839743444,0.231992175950144,7.58051724137931,390,-19.2,39.2,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,0.454886619510087,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.0335292934260232,0.268234347408186,97.2349509354673,0.227999195296958,7.71327586206897,316,-28.5,31.2,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,2.23528622840155,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.1005204726696,0.268054593785601,97.1697902472804,0.227846404717761,7.71844827586207,536,-18.4,28.2,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,2.23378828154668,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.0502731507859369,0.402185206287495,97.1947581861447,0.341857425344371,5.14431034482759,212,-29.2,66.8,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,2.01092603143748,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.150667961295075,0.4017812301202,97.0971306123816,0.34151404560217,5.14948275862069,356,-19.7,43.1,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,2.008906150601,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.0254941618369393,0.203953294695515,98.5774257694988,0.173360300491188,10.1443103448276,326,-28.8,42.2,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,1.01976647347757,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.0764435082474052,0.203849355326414,98.5271884077667,0.173271952027452,10.1494827586207,552,-17.2,31.6,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,1.01924677663207,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.101860654624474,0.407442618497895,98.4652994703246,0.346326225723211,5.07793103448276,257,-25.6,75.7,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,0.679071030829825,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
Chitosan/alginate nanoparticles as a promising approach for oral delivery of curcumin diglutaric acid for cancer treatment,10.1016/j.msec.2017.11.022,Curcumin diglutaric acid,0.0991669972233241,0.396667988893296,95.8614306492133,0.337167790559302,5.21586206896552,345,-22.1,55.7,4.762,182.96,596.585,17,3,10,2,0,0,154.0184,0.258064516129032,12,3.3055665741108,1,1,22,12600,2,0,0.0180212650928095,0,1,84.3,1,1000,25,15,4.6
